workload,D,variant,linksTraversed,edgeAllocations,edgeLinks,edgeUnlinks,edgeMoves,callbackDependencyReads,stableEdgesEligible,stableEdgesRetained,dependencyDelta,physicalMutations,totalAmplification,mutationAmplification,mean,median,p75,p95,p99,variance,rme95Percent,opsPerSecond,batchIterations,wallTimeMs
replacement,1024,before,4131,1024,1024,1024,0,1025,1,1,2048,2048,3.015617374328941,0.9995119570522206,25072.48697916665,25145.60546875,25888.671874999993,26689.55078124998,26978.847656250044,1399230.8813730706,2.612937028067036,39884.35614029533,1024,385.1133999999998
replacement,1024,after,7170,1024,1024,1024,0,1025,1,1,2048,2048,4.498779892630552,0.9995119570522206,28298.802083333318,27883.691406249967,29199.560546874975,30221.582031250004,30470.957031249953,1432533.985501244,2.342427091081798,35337.184841083916,1024,434.6695999999997
replacement,4096,before,16419,4096,4096,4096,0,4097,1,1,8192,8192,3.0039057732210424,0.9998779445868424,105654.53124999996,105404.68749999965,112158.78906249999,115443.82812499987,115530.01562499987,46492814.45748397,3.574262609686053,9464.80939500643,256,405.71339999999975
replacement,4096,after,28674,4096,4096,4096,0,4097,1,1,8192,8192,4.499694861467106,0.9998779445868424,135990.9114583334,134201.95312500026,144243.75,149676.13281250015,150193.0390625001,94721485.69306664,3.9636567063705948,7353.43258807698,256,522.2051000000002
reorder,0,before,1,0,0,0,0,1,1,1,0,0,1,0,27.44778951009115,26.92632675170895,27.92801856994629,30.36640167236332,30.87407684326179,2.2239773527309525,3.0091197603652127,36432806.351577096,1048576,431.7164000000002
reorder,0,after,1,0,0,0,0,1,1,1,0,0,1,0,27.451794942220044,26.784324645996087,28.451108932495107,30.06740570068359,30.27526092529294,1.9697884629186593,2.831527054514039,36427490.51946435,1048576,431.77939999999995
reorder,1,before,2,0,0,0,0,2,2,2,0,0,2,0,33.81111145019532,33.70962142944332,34.81092453002922,35.468921661376925,35.59880447387699,1.4752120571626104,1.989525208815143,29576075.943940114,1048576,531.8028
reorder,1,after,2,0,0,0,0,2,2,2,0,0,2,0,34.70013300577801,34.75570678710955,35.71529388427734,36.43517494201661,36.6859149932861,1.6309728256428,2.038327154235825,28818333.342799794,1048576,545.7859000000001
reorder,16,before,123.125,0,0,0,12.4375,17,17,17,0,12.4375,135.5625,12.4375,275.1173909505206,270.79238891601545,281.9789886474612,294.38346862792855,294.4778900146483,117.58070479567938,2.182888999570076,3634812.0216793143,131072,540.9027999999995
reorder,16,after,123.125,0,0,0,12.4375,17,17,17,0,12.4375,135.5625,12.4375,279.0701802571614,277.20565795898415,289.8113250732425,292.1830749511717,295.3378601074218,92.37354270936557,1.9074011234397437,3583328.0326780397,131072,548.6743
